path	date	synthesis	total_numeric	checked	suppressed_inline	suppressed_synthesis	low_coverage	uses_old_idiom	main_verdict	new_verdict	flips_pass_to_fail	error
research/findings/2026-04-20-g1.md	2026-04-20	False	18	18	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-20-g2.md	2026-04-20	False	26	26	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-20-g3.md	2026-04-20	False	17	17	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-20-g5.md	2026-04-20	False	3	3	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-20-g5v2.md	2026-04-20	False	2	2	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-21-g5v3.md	2026-04-21	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-21-g6.md	2026-04-21	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-21-g7.md	2026-04-21	False	1	1	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-21-signed-eligibility-branch.md	2026-04-21	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-24-g8.md	2026-04-24	False	0	0	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-24-g9.md	2026-04-24	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-24-rng-drift.md	2026-04-24	False	49	49	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-24-route-b-profile.md	2026-04-24	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-24-session-c.md	2026-04-24	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-24-session-d-part-a.md	2026-04-24	False	5	5	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-24-session-d-part-c.md	2026-04-24	False	6	6	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-24-session-e1-neuromodulator-subsystem.md	2026-04-24	False	13	13	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-25-hh-preset-audit.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-25-hh-presets-after-q10-fix.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-25-hh-temperature-bug.md	2026-04-25	False	1	1	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-25-izh-preset-audit.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-25-pfc-bistability-negative.md	2026-04-25	False	1	1	0	0	False	False	FAIL	FAIL	False	
research/findings/2026-04-25-phase-b-acid-test-real-win.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-25-phase-b-bg-acid-test.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-25-phase-b-cascade-stability-fix.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-04-25-phase-b-honest-correction.md	2026-04-25	False	0	0	0	0	False	False	PASS	PASS	False	
